county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Los Angeles County, CA",CA,3416449,0.6557,0.7172,1606590
"Cook County, IL",IL,2100230,0.6291,0.7156,945467
"Maricopa County, AZ",AZ,1730696,0.674,0.6925,807743
"Harris County, TX",TX,1757164,0.5966,0.6402,671103
"San Diego County, CA",CA,1171278,0.7246,0.7172,608720
"Orange County, CA",CA,1082960,0.7475,0.7172,580567
"King County, WA",WA,941054,0.764,0.7388,531138
"Kings County, NY",NY,1009927,0.5999,0.7139,432544
"Queens County, NY",NY,841003,0.6469,0.7139,388421
"Dallas County, TX",TX,982737,0.6156,0.6402,387329
"Miami-Dade County, FL",FL,975411,0.5756,0.6892,386919
"Santa Clara County, CA",CA,659353,0.8146,0.7172,385197
"Riverside County, CA",CA,775335,0.6831,0.7172,379824
"New York County, NY",NY,778281,0.6589,0.7139,366089
"Clark County, NV",NV,862518,0.6097,0.6809,358082
"Middlesex County, MA",MA,634215,0.7674,0.7338,357121
"Tarrant County, TX",TX,782419,0.6542,0.6402,327669
"Alameda County, CA",CA,598246,0.7535,0.7172,323319
"San Bernardino County, CA",CA,674915,0.6543,0.7172,316704
"Broward County, FL",FL,753956,0.6047,0.6892,314233
"Suffolk County, NY",NY,512565,0.7855,0.7139,287437
"Hennepin County, MN",MN,539493,0.7002,0.7504,283446
"Bexar County, TX",TX,750939,0.5846,0.6402,281060
"Sacramento County, CA",CA,571057,0.6803,0.7172,278608
"Palm Beach County, FL",FL,605430,0.6365,0.6892,265579
"Nassau County, NY",NY,458166,0.8099,0.7139,264901
"Travis County, TX",TX,583747,0.707,0.6402,264217
"Oakland County, MI",MI,530460,0.6975,0.7106,262907
"Wayne County, MI",MI,700591,0.505,0.7106,251429
"Philadelphia County, PA",PA,679428,0.5145,0.7156,250165
"Hillsborough County, FL",FL,583192,0.6204,0.6892,249366
"Fairfax County, VA",VA,414101,0.8366,0.7172,248454
"Allegheny County, PA",PA,545802,0.6095,0.7156,238047
"Franklin County, OH",OH,553099,0.5991,0.704,233261
"Wake County, NC",NC,460175,0.721,0.6941,230278
"Contra Costa County, CA",CA,414417,0.7712,0.7172,229213
"Orange County, FL",FL,527776,0.6222,0.6892,226321
"Salt Lake County, UT",UT,426245,0.7155,0.7288,222258
"Montgomery County, MD",MD,389210,0.7849,0.7057,215584
"Mecklenburg County, NC",NC,466527,0.659,0.6941,213384
"Collin County, TX",TX,416646,0.7815,0.6402,208454
"Cuyahoga County, OH",OH,554551,0.533,0.704,208083
"Fulton County, GA",GA,462481,0.6707,0.6402,198572
"Bergen County, NJ",NJ,355127,0.7652,0.7189,195348
"Westchester County, NY",NY,372883,0.7316,0.7139,194744
"San Francisco County, CA",CA,363970,0.7416,0.7172,193584
"DuPage County, IL",IL,350758,0.7558,0.7156,189719
